lev7 m1 continue mci0 mask0 lm0 mum0, muum-1, mui0,, mm-1, mi-1
fill sz195 level7 m0,0 i64,42 o0,0 high0,1 low0,0 mset255,255
fill sz196 level7 m0,1 i64,42 o0,0 high0,1 low0,0 mset255,255
fill sz197 level7 m0,0 i0,43 o0,0 high0,1 low0,0 mset255,255
fill sz198 level7 m0,1 i0,43 o0,0 high0,1 low0,0 mset255,255
fill sz199 level7 m0,0 i128,42 o0,0 high0,1 low0,0 mset255,255
fill sz200 level7 m0,1 i128,42 o0,0 high0,1 low0,0 mset255,255
fill sz201 level7 m0,0 i192,42 o0,0 high0,1 low0,0 mset255,255
fill sz202 level7 m0,1 i192,42 o0,0 high0,1 low0,0 mset255,255
fill sz203 level7 m0,0 i128,43 o0,0 high0,1 low0,0 mset255,255
fill sz204 level7 m0,1 i128,43 o0,0 high0,1 low0,0 mset255,255
fill sz205 level7 m0,0 i0,44 o0,0 high0,1 low0,0 mset255,255
fill sz206 level7 m0,1 i0,44 o0,0 high0,1 low0,0 mset255,255
fill sz207 level7 m0,0 i64,44 o0,0 high0,1 low0,0 mset255,255
fill sz208 level7 m0,1 i64,44 o0,0 high0,1 low0,0 mset255,255
fill sz209 level7 m0,1 i0,45 o0,0 high0,1 low0,0 mset255,255
fill sz210 level7 m0,0 i128,44 o0,0 high0,1 low0,0 mset255,255
fill sz211 level7 m0,1 i128,44 o0,0 high0,1 low0,0 mset255,255
fill sz212 level7 m0,0 i192,44 o0,0 high0,1 low0,0 mset255,255
fill sz213 level7 m0,1 i192,44 o0,0 high0,1 low0,0 mset255,255
fill sz214 level7 m0,1 i128,45 o0,0 high0,1 low0,0 mset255,255
fill sz215 level7 m0,0 i0,46 o0,0 high0,1 low0,0 mset255,255
fill sz216 level7 m0,1 i0,46 o0,0 high0,1 low0,0 mset255,255
fill sz217 level7 m0,0 i64,46 o0,0 high0,1 low0,0 mset255,255
fill sz218 level7 m0,1 i64,46 o0,0 high0,1 low0,0 mset255,255
fill sz219 level7 m0,1 i0,47 o0,0 high0,1 low0,0 mset255,255
fill sz220 level7 m0,0 i128,46 o0,0 high0,1 low0,0 mset255,255
fill sz221 level7 m0,1 i128,46 o0,0 high0,1 low0,0 mset255,255
fill sz222 level7 m0,0 i192,46 o0,0 high0,1 low0,0 mset255,255
fill sz223 level7 m0,1 i192,46 o0,0 high0,1 low0,0 mset255,255
fill sz224 level7 m0,1 i128,47 o0,0 high0,1 low0,0 mset255,255
fill sz225 level7 m0,0 i0,48 o0,0 high0,1 low0,0 mset255,255
fill sz226 level7 m0,1 i0,48 o0,0 high0,1 low0,0 mset255,255
fill sz227 level7 m0,0 i64,48 o0,0 high0,1 low0,0 mset255,255
fill sz228 level7 m0,1 i64,48 o0,0 high0,1 low0,0 mset255,255
fill sz229 level7 m0,0 i0,49 o0,0 high0,1 low0,0 mset255,255
fill sz230 level7 m0,1 i0,49 o0,0 high0,1 low0,0 mset255,255
fill sz231 level7 m0,0 i128,48 o0,0 high0,1 low0,0 mset255,255
fill sz232 level7 m0,1 i128,48 o0,0 high0,1 low0,0 mset255,255
fill sz233 level7 m0,0 i192,48 o0,0 high0,1 low0,0 mset255,255
fill sz234 level7 m0,1 i192,48 o0,0 high0,1 low0,0 mset255,255
fill sz235 level7 m0,0 i128,49 o0,0 high0,1 low0,0 mset255,255
fill sz236 level7 m0,1 i128,49 o0,0 high0,1 low0,0 mset255,255
fill sz237 level7 m0,0 i0,50 o0,0 high0,1 low0,0 mset255,255
fill sz238 level7 m0,1 i0,50 o0,0 high0,1 low0,0 mset255,255
fill sz239 level7 m0,0 i64,50 o0,0 high0,1 low0,0 mset255,255
fill sz240 level7 m0,1 i64,50 o0,0 high0,1 low0,0 mset255,255
fill sz241 level7 m0,0 i0,51 o0,0 high0,1 low0,0 mset255,255
fill sz242 level7 m0,1 i0,51 o0,0 high0,1 low0,0 mset255,255
fill sz243 level7 m0,0 i128,50 o0,0 high0,1 low0,0 mset255,255
fill sz244 level7 m0,1 i128,50 o0,0 high0,1 low0,0 mset255,255
fill sz245 level7 m0,0 i192,50 o0,0 high0,1 low0,0 mset255,255
fill sz246 level7 m0,1 i192,50 o0,0 high0,1 low0,0 mset255,255
fill sz247 level7 m0,0 i128,51 o0,0 high0,1 low0,0 mset255,255
fill sz248 level7 m0,1 i128,51 o0,0 high0,1 low0,0 mset255,255
fill sz249 level7 m0,0 i0,56 o0,0 high0,1 low0,0 mset255,255
fill sz250 level7 m0,1 i0,56 o0,0 high0,1 low0,0 mset255,255
fill sz251 level7 m0,0 i64,56 o0,0 high0,1 low0,0 mset255,255
fill sz252 level7 m0,1 i64,56 o0,0 high0,1 low0,0 mset255,255
fill sz253 level7 m0,0 i0,57 o0,0 high0,1 low0,0 mset255,255
fill sz254 level7 m0,1 i0,57 o0,0 high0,1 low0,0 mset255,255
fill sz255 level7 m0,0 i128,56 o0,0 high0,1 low0,0 mset255,255
fill sz256 level7 m0,1 i128,56 o0,0 high0,1 low0,0 mset255,255
fill sz257 level7 m0,0 i192,56 o0,0 high0,1 low0,0 mset255,255
fill sz258 level7 m0,1 i192,56 o0,0 high0,1 low0,0 mset255,255
fill sz259 level7 m0,0 i128,57 o0,0 high0,1 low0,0 mset255,255
fill sz260 level7 m0,1 i128,57 o0,0 high0,1 low0,0 mset255,255
fill sz261 level7 m0,0 i0,58 o0,0 high0,1 low0,0 mset255,255
fill sz262 level7 m0,1 i0,58 o0,0 high0,1 low0,0 mset255,255
fill sz263 level7 m0,0 i64,58 o0,0 high0,1 low0,0 mset255,255
fill sz264 level7 m0,1 i64,58 o0,0 high0,1 low0,0 mset255,255
fill sz265 level7 m0,0 i0,59 o0,0 high0,1 low0,0 mset255,255
fill sz266 level7 m0,1 i0,59 o0,0 high0,1 low0,0 mset255,255
fill sz267 level7 m0,0 i128,58 o0,0 high0,1 low0,0 mset255,255
fill sz268 level7 m0,1 i128,58 o0,0 high0,1 low0,0 mset255,255
fill sz269 level7 m0,0 i192,58 o0,0 high0,1 low0,0 mset255,255
fill sz270 level7 m0,1 i192,58 o0,0 high0,1 low0,0 mset255,255
fill sz271 level7 m0,0 i128,59 o0,0 high0,1 low0,0 mset255,255
fill sz272 level7 m0,1 i128,59 o0,0 high0,1 low0,0 mset255,255
fill sz273 level7 m0,0 i0,64 o0,0 high0,1 low0,0 mset255,255
fill sz274 level7 m0,1 i0,64 o0,0 high0,1 low0,0 mset255,255
fill sz275 level7 m0,0 i64,64 o0,0 high0,1 low0,0 mset255,255
fill sz276 level7 m0,1 i64,64 o0,0 high0,1 low0,0 mset255,255
fill sz277 level7 m0,0 i0,65 o0,0 high0,1 low0,0 mset255,255
fill sz278 level7 m0,1 i0,65 o0,0 high0,1 low0,0 mset255,255
fill sz279 level7 m0,0 i128,64 o0,0 high0,1 low0,0 mset255,255
fill sz280 level7 m0,1 i128,64 o0,0 high0,1 low0,0 mset255,255
fill sz281 level7 m0,0 i192,64 o0,0 high0,1 low0,0 mset255,255
fill sz282 level7 m0,1 i192,64 o0,0 high0,1 low0,0 mset255,255
fill sz283 level7 m0,0 i128,65 o0,0 high0,1 low0,0 mset255,255
fill sz284 level7 m0,1 i128,65 o0,0 high0,1 low0,0 mset255,255
fill sz285 level7 m0,0 i0,66 o0,0 high0,1 low0,0 mset255,255
fill sz286 level7 m0,1 i0,66 o0,0 high0,1 low0,0 mset255,255
fill sz287 level7 m0,0 i64,66 o0,0 high0,1 low0,0 mset255,255
fill sz288 level7 m0,1 i64,66 o0,0 high0,1 low0,0 mset255,255
fill sz289 level7 m0,0 i0,67 o0,0 high0,1 low0,0 mset255,255
fill sz290 level7 m0,1 i0,67 o0,0 high0,1 low0,0 mset255,255
fill sz291 level7 m0,0 i128,66 o0,0 high0,1 low0,0 mset255,255
